brand,alias
brand	alias,бранд алиас
brand,бранд
alias,алиас
dry riesling	барон филипп де ротшильд бордо розе,дри риеслинг барон филипп де ротшильд бордо розе
dry,дри
riesling,риеслинг
барон,барон
филипп,филипп
ротшильд,ротшильд
бордо,бордо
розе,розе
dry riesling	барон филипп де ротшильд бордо розе,дри рислинг барон филипп де ротшильд бордо розе
riesling,рислинг
max's garden	нипоццано кьянти руфина ризерва,махс гарден нипоццано кьянти руфина ризерва
max's,махс
garden,гарден
нипоццано,нипоццано
кьянти,кьянти
руфина,руфина
ризерва,ризерва
max's garden	нипоццано кьянти руфина ризерва,максс гарден нипоццано кьянти руфина ризерва
max's,максс
schrader	нипоццано,шрадер нипоццано
schrader,шрадер
lpv	кьянти,лпв кьянти
lpv,лпв
lpv	кьянти,лпф кьянти
lpv,лпф
cabernet	руфина,кабернет руфина
cabernet,кабернет
sauvignon	ризерва,саувигнон ризерва
sauvignon,саувигнон
sauvignon	ризерва,заувигнон ризерва
sauvignon,заувигнон
schrader lpv cabernet sauvignon	нипоццано кьянти руфина ризерва,шрадер лпв кабернет саувигнон нипоццано кьянти руфина ризерва
schrader lpv cabernet sauvignon	нипоццано кьянти руфина ризерва,шрадер лпф кабернет заувигнон нипоццано кьянти руфина ризерва
gevrey-chambertin premier cru clos-st jacques	шассань-монраше премье крю моржо марки де лягиш,гевреи-чамбертин премиер кру клос-ст йакквес шассань-монраше премье крю моржо марки де лягиш
gevrey-chambertin,гевреи-чамбертин
premier,премиер
cru,кру
clos-st,клос-ст
jacques,йакквес
шассань-монраше,шассань-монраше
премье,премье
крю,крю
моржо,моржо
марки,марки
лягиш,лягиш
gevrey-chambertin premier cru clos-st jacques	шассань-монраше премье крю моржо марки де лягиш,жевреи-шамбертин премьер кру клос-ст жакквес шассань-монраше премье крю моржо марки де лягиш
gevrey-chambertin,жевреи-шамбертин
premier,премьер
jacques,жакквес
estate chardonnay	шассань-монраше премье крю моржо марки де лягиш,эстате чардоннай шассань-монраше премье крю моржо марки де лягиш
estate,эстате
chardonnay,чардоннай
estate chardonnay	шассань-монраше премье крю моржо марки де лягиш,эстейт чардонней шассань-монраше премье крю моржо марки де лягиш
estate,эстейт
chardonnay,чардонней
beaune	шассань-монраше,беауне шассань-монраше
beaune,беауне
premier	премье,премиер премье
premier	премье,премир премье
premier,премир
cru	крю,кру крю
clos	моржо,клос моржо
clos,клос
des	марки,дес марки
des,дес
rouge	лягиш,роуге лягиш
rouge,роуге
beaune premier cru clos des mouches rouge	шассань-монраше премье крю моржо марки де лягиш,беауне премиер кру клос дес моучес роуге шассань-монраше премье крю моржо марки де лягиш
mouches,моучес
beaune premier cru clos des mouches rouge	шассань-монраше премье крю моржо марки де лягиш,бон премьер кру клос дес мушес руж шассань-монраше премье крю моржо марки де лягиш
beaune,бон
mouches,мушес
rouge,руж
single de samalens years old	фонтегайа неро д'авола,сингле де самаленс йеарс олд фонтегайа неро давола
single,сингле
samalens,самаленс
years,йеарс
old,олд
фонтегайа,фонтегайа
неро,неро
д'авола,давола
single de samalens years old	фонтегайа неро д'авола,сингле де самаленс иеарс олд фонтегайа неро давола
years,иеарс
volley blue cmx cmx cm	додичи монтереджо ризерва,воллей блуе кмх кмх км додичи монтереджо ризерва
volley,воллей
blue,блуе
cmx,кмх
додичи,додичи
монтереджо,монтереджо
volley blue cmx cmx cm	додичи монтереджо ризерва,воллей блу кмкс кмкс км додичи монтереджо ризерва
blue,блу
cmx,кмкс
sauvignon blanc	додичи монтереджо ризерва,саувигнон бланк додичи монтереджо ризерва
blanc,бланк
sauvignon blanc	додичи монтереджо ризерва,заувигнон бланк додичи монтереджо ризерва
prunella	прунелла,прунелла прунелла
prunella,прунелла
mandorlata	мандорлата,мандорлата мандорлата
mandorlata,мандорлата
prunella mandorlata	прунелла мандорлата,прунелла мандорлата прунелла мандорлата
penfolds	пенфолдс,пенфолдс пенфолдс
penfolds,пенфолдс
bin	бин,бин бин
bin,бин
cabernet	каберне,кабернет каберне
каберне,каберне
shiraz	шираз,шираз шираз
shiraz,шираз
shiraz	шираз,ширац шираз
shiraz,ширац
penfolds bin cabernet shiraz	пенфолдс бин каберне шираз,пенфолдс бин кабернет шираз пенфолдс бин каберне шираз
penfolds bin cabernet shiraz	пенфолдс бин каберне шираз,пенфолдс бин кабернет ширац пенфолдс бин каберне шираз
graham's	грэм'с,грахамс грэмс
graham's,грахамс
грэм'с,грэмс
six	сикс,сих сикс
six,сих
сикс,сикс
six	сикс,сикс сикс
grapes	грейпс,грапес грейпс
grapes,грапес
грейпс,грейпс
reserve	резерв,ресерве резерв
reserve,ресерве
резерв,резерв
reserve	резерв,резерфе резерв
reserve,резерфе
port	порт,порт порт
port,порт
graham's six grapes reserve port	грэм'с сикс грейпс резерв порт,грахамс сих грапес ресерве порт грэмс сикс грейпс резерв порт
graham's six grapes reserve port	грэм'с сикс грейпс резерв порт,грейхамс сикс грейпес резерв порт грэмс сикс грейпс резерв порт
graham's,грейхамс
grapes,грейпес
oloroso	олоросо,олоросо олоросо
oloroso,олоросо
oloroso	олоросо,олорозо олоросо
oloroso,олорозо
solera	солера,солера солера
solera,солера
solera	солера,золера солера
solera,золера
oloroso solera	олоросо солера,олоросо солера олоросо солера
oloroso solera	олоросо солера,олорозо золера олоросо солера
warre`s	уорр`с,варрес уоррс
warre`s,варрес
уорр`с,уоррс
fine	файн,фине файн
fine,фине
файн,файн
white	уайт,вхите уайт
white,вхите
уайт,уайт
warre`s fine white port	уорр`с файн уайт порт,варрес фине вхите порт уоррс файн уайт порт
otima	отима,отима отима
otima,отима
tawny	тони,тавни тони
tawny,тавни
тони,тони
tawny	тони,товни тони
tawny,товни
warre`s otima tawny port	уорр`с отима тони порт,варрес отима тавни порт уоррс отима тони порт
warre`s otima tawny port	уорр`с отима тони порт,воррес отима товни порт уоррс отима тони порт
warre`s,воррес
king's	кинг'с,кингс кингс
king's,кингс
warre's king's tawny port	уорр'с кинг'с тони порт,варрес кингс тавни порт уоррс кингс тони порт
warre's king's tawny port	уорр'с кинг'с тони порт,воррес кингс товни порт уоррс кингс тони порт
pinot	пино,пинот пино
pinot,пинот
пино,пино
noir	нуар,ноир нуар
noir,ноир
нуар,нуар
laurene	лорен,лаурене лорен
laurene,лаурене
лорен,лорен
pinot noir laurene	пино нуар лорен,пинот ноир лаурене пино нуар лорен
chateau	шато,чатеау шато
chateau,чатеау
шато,шато
chateau	шато,шато шато
lynch-bages	линч-баж,линч-багес линч-баж
lynch-bages,линч-багес
линч-баж,линч-баж
lynch-bages	линч-баж,линч-баджес линч-баж
lynch-bages,линч-баджес
chateau lynch-bages	шато линч-баж,чатеау линч-багес шато линч-баж
chateau lynch-bages	шато линч-баж,шато линш-бажес шато линч-баж
lynch-bages,линш-бажес
gavi	гави,гави гави
gavi,гави
dei	дей,деи дей
dei,деи
дей,дей
dei	дей,дей дей
etichetta	черная,этичетта черная
etichetta,этичетта
черная,черная
etichetta	черная,этихетта черная
etichetta,этихетта
nera	этикетка,нера этикетка
nera,нера
этикетка,этикетка
gavi dei gavi etichetta nera	гави дей гави черная этикетка,гави деи гави этичетта нера гави дей гави черная этикетка
gavi dei gavi etichetta nera	гави дей гави черная этикетка,гави дей гави этихетта нера гави дей гави черная этикетка
